ADRB2	adrenoceptor beta 2
AKT1	AKT serine/threonine kinase 1
APOE	apolipoprotein E
APP	amyloid beta precursor protein
FAS	Fas cell surface death receptor
ATM	ATM serine/threonine kinase
BDNF	brain derived neurotrophic factor
BRCA1	BRCA1, DNA repair associated
CDKN1A	cyclin dependent kinase inhibitor 1A
CDKN2A	cyclin dependent kinase inhibitor 2A
CFTR	cystic fibrosis transmembrane conductance regulator
CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)
COMT	catechol-O-methyltransferase
CRP	C-reactive protein
CTNNB1	catenin beta 1
CYP2D6	cytochrome P450 family 2 subfamily D member 6
ACE	angiotensin I converting enzyme
ESR1	estrogen receptor 1
F2	coagulation factor II, thrombin
MTOR	mechanistic target of rapamycin
GSTM1	glutathione S-transferase mu 1
GSTP1	glutathione S-transferase pi 1
GSTT1	glutathione S-transferase theta 1
only annotated on alternate loci in reference assembly
HFE	hemochromatosis
HIF1A	hypoxia inducible factor 1 alpha subunit
HLA-A	major histocompatibility complex, class I, A
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
HLA-DRB1	major histocompatibility complex, class II, DR beta 1
IFNG	interferon gamma
IGF1	insulin like growth factor 1
IL1B	interleukin 1 beta
IL6	interleukin 6
CXCL8	C-X-C motif chemokine ligand 8
IL10	interleukin 10
LEP	leptin
MAPT	microtubule associated protein tau
MMP2	matrix metallopeptidase 2
MTHFR	methylenetetrahydrofolate reductase
NFKB1	nuclear factor kappa B subunit 1
NOS3	nitric oxide synthase 3
NPPB	natriuretic peptide B
SERPINE1	serpin family E member 1
ABCB1	ATP binding cassette subfamily B member 1
PON1	paraoxonase 1
PPARG	peroxisome proliferator activated receptor gamma
MAPK1	mitogen-activated protein kinase 1
PTGS2	prostaglandin-endoperoxide synthase 2
CCL2	C-C motif chemokine ligand 2
SLC6A4	solute carrier family 6 member 4
SNCA	synuclein alpha
SOD1	superoxide dismutase 1
TGFB1	transforming growth factor beta 1
TLR2	toll like receptor 2
TLR4	toll like receptor 4
TNF	tumor necrosis factor
TP53	tumor protein p53
VDR	vitamin D receptor
VEGFA	vascular endothelial growth factor A
XRCC1	X-ray repair cross complementing 1
ADIPOQ	adiponectin, C1Q and collagen domain containing
PARP1	poly(ADP-ribose) polymerase 1
AGER	advanced glycosylation end-product specific receptor
APOA1	apolipoprotein A1
BAX	BCL2 associated X, apoptosis regulator
CASP3	caspase 3
CAV1	caveolin 1
CDKN1B	cyclin dependent kinase inhibitor 1B
MAPK14	mitogen-activated protein kinase 14
CYP3A4	cytochrome P450 family 3 subfamily A member 4
CYP19A1	cytochrome P450 family 19 subfamily A member 1
DRD4	dopamine receptor D4
EDN1	endothelin 1
ESR2	estrogen receptor 2
GSK3B	glycogen synthase kinase 3 beta
CFH	complement factor H
HMGB1	high mobility group box 1
HMOX1	heme oxygenase 1
ICAM1	intercellular adhesion molecule 1
IL1RN	interleukin 1 receptor antagonist
IL18	interleukin 18
INS	insulin
ITGB1	integrin subunit beta 1
LDLR	low density lipoprotein receptor
LPL	lipoprotein lipase
MBL2	mannose binding lectin 2
MET	MET proto-oncogene, receptor tyrosine kinase
NFE2L2	nuclear factor, erythroid 2 like 2
NOS2	nitric oxide synthase 2
NOTCH1	notch 1
MAPK3	mitogen-activated protein kinase 3
PRNP	prion protein
PSEN1	presenilin 1
RELA	RELA proto-oncogene, NF-kB subunit
SLC6A3	solute carrier family 6 member 3
SOD2	superoxide dismutase 2
SP1	Sp1 transcription factor
WT1	Wilms tumor 1
TNFSF10	TNF superfamily member 10
GHRL	ghrelin and obestatin prepropeptide
LRRK2	leucine rich repeat kinase 2
ABCA1	ATP binding cassette subfamily A member 1
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase
ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
APEX1	apurinic/apyrimidinic endodeoxyribonuclease 1
KLK3	kallikrein related peptidase 3
RHOA	ras homolog family member A
BSG	basigin (Ok blood group)
C3	complement C3
RUNX1	runt related transcription factor 1
CD40	CD40 molecule
CD40LG	CD40 ligand
CDK1	cyclin dependent kinase 1
CETP	cholesteryl ester transfer protein
CLU	clusterin
CNR1	cannabinoid receptor 1
CREB1	cAMP responsive element binding protein 1
CST3	cystatin C
CTGF	connective tissue growth factor
CYP17A1	cytochrome P450 family 17 subfamily A member 1
NQO1	NAD(P)H quinone dehydrogenase 1
DNMT1	DNA methyltransferase 1
EGF	epidermal growth factor
FOXO3	forkhead box O3
FMR1	fragile X mental retardation 1
GH1	growth hormone 1
GNAS	GNAS complex locus
GNB3	G protein subunit beta 3
NRG1	neuregulin 1
HSPA4	heat shock protein family A (Hsp70) member 4
HSPA5	heat shock protein family A (Hsp70) member 5
HSP90AA1	heat shock protein 90 alpha family class A member 1
HTR2A	5-hydroxytryptamine receptor 2A
IGF2	insulin like growth factor 2
IL1A	interleukin 1 alpha
IL12B	interleukin 12B
IRS1	insulin receptor substrate 1
ITGAV	integrin subunit alpha V
LCN2	lipocalin 2
MAOA	monoamine oxidase A
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
MMP3	matrix metallopeptidase 3
MPO	myeloperoxidase
OGG1	8-oxoguanine DNA glycosylase
PRKN	parkin RBR E3 ubiquitin protein ligase
PDCD1	programmed cell death 1
SERPINA1	serpin family A member 1
PLAU	plasminogen activator, urokinase
MAPK8	mitogen-activated protein kinase 8
TIMP1	TIMP metallopeptidase inhibitor 1
TNFRSF1A	TNF receptor superfamily member 1A
TP73	tumor protein p73
TTR	transthyretin
PPARGC1A	PPARG coactivator 1 alpha
CHEK2	checkpoint kinase 2
TARDBP	TAR DNA binding protein
CD274	CD274 molecule
TLR9	toll like receptor 9
HAMP	hepcidin antimicrobial peptide
NLRP3	NLR family pyrin domain containing 3
MIR146A	microRNA 146a
hsa-mir-146	hsa-mir-146a
ADRB1	adrenoceptor beta 1
APOC3	apolipoprotein C3
CALR	calreticulin
CBS	cystathionine-beta-synthase
CD36	CD36 molecule
CHEK1	checkpoint kinase 1
CHI3L1	chitinase 3 like 1
DRD3	dopamine receptor D3
EGR1	early growth response 1
ERG	ERG, ETS transcription factor
FGB	fibrinogen beta chain
FYN	FYN proto-oncogene, Src family tyrosine kinase
G6PD	glucose-6-phosphate dehydrogenase
GRN	granulin precursor
HP	haptoglobin
HTR1A	5-hydroxytryptamine receptor 1A
LRP1	LDL receptor related protein 1
LTF	lactotransferrin
NOS1	nitric oxide synthase 1
NOTCH3	notch 3
P2RX7	purinergic receptor P2X 7
PIN1	peptidylprolyl cis/trans isomerase, NIMA-interacting 1
PLAT	plasminogen activator, tissue type
PLG	plasminogen
RAF1	Raf-1 proto-oncogene, serine/threonine kinase
S100A9	S100 calcium binding protein A9
S100B	S100 calcium binding protein B
SELP	selectin P
STK11	serine/threonine kinase 11
TGFBR2	transforming growth factor beta receptor 2
TNFRSF1B	TNF receptor superfamily member 1B
TNNI3	troponin I3, cardiac type
BECN1	beclin 1
SQSTM1	sequestosome 1
SOCS3	suppressor of cytokine signaling 3
YAP1	Yes associated protein 1
HPSE	heparanase
DKK1	dickkopf WNT signaling pathway inhibitor 1
BACE1	beta-secretase 1
CCR2	C-C motif chemokine receptor 2
ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
ADORA2A	adenosine A2a receptor
ALOX5	arachidonate 5-lipoxygenase
AQP1	aquaporin 1 (Colton blood group)
AQP4	aquaporin 4
AVP	arginine vasopressin
BCHE	butyrylcholinesterase
CACNA1C	calcium voltage-gated channel subunit alpha1 C
CAT	catalase
SCARB1	scavenger receptor class B member 1
CDKN2B	cyclin dependent kinase inhibitor 2B
CHGA	chromogranin A
CHRNA7	cholinergic receptor nicotinic alpha 7 subunit
CRYAB	crystallin alpha B
CTSB	cathepsin B
CTSD	cathepsin D
CX3CR1	C-X3-C motif chemokine receptor 1
CYBB	cytochrome b-245 beta chain
DNMT3A	DNA methyltransferase 3 alpha
DNMT3B	DNA methyltransferase 3 beta
F13A1	coagulation factor XIII A chain
FSHR	follicle stimulating hormone receptor
FUS	FUS RNA binding protein
GAPDH	glyceraldehyde-3-phosphate dehydrogenase
GLI1	GLI family zinc finger 1
HDAC2	histone deacetylase 2
HTR2C	5-hydroxytryptamine receptor 2C
IAPP	islet amyloid polypeptide
IL6R	interleukin 6 receptor
CXCR2	C-X-C motif chemokine receptor 2
IL12A	interleukin 12A
ITGAM	integrin subunit alpha M
LIPC	lipase C, hepatic type
MME	membrane metalloendopeptidase
MMP13	matrix metallopeptidase 13
MUTYH	mutY DNA glycosylase
NCAM1	neural cell adhesion molecule 1
NGF	nerve growth factor
NGFR	nerve growth factor receptor
NPY	neuropeptide Y
NTRK1	neurotrophic receptor tyrosine kinase 1
NTRK2	neurotrophic receptor tyrosine kinase 2
OLR1	oxidized low density lipoprotein receptor 1
PDGFB	platelet derived growth factor subunit B
SERPINF1	serpin family F member 1
MAP2K1	mitogen-activated protein kinase kinase 1
EIF2AK2	eukaryotic translation initiation factor 2 alpha kinase 2
RPS6KB1	ribosomal protein S6 kinase B1
RXRA	retinoid X receptor alpha
SHBG	sex hormone binding globulin
ADAM17	ADAM metallopeptidase domain 17
TF	transferrin
TIMP2	TIMP metallopeptidase inhibitor 2
TSC2	tuberous sclerosis 2
TXN	thioredoxin
UCHL1	ubiquitin C-terminal hydrolase L1
VCP	valosin containing protein
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
TPH2	tryptophan hydroxylase 2
C9orf72	chromosome 9 open reading frame 72
A2M	alpha-2-macroglobulin
ACHE	acetylcholinesterase (Cartwright blood group)
ADAM10	ADAM metallopeptidase domain 10
ADAR	adenosine deaminase, RNA specific
ALPL	alkaline phosphatase, liver/bone/kidney
ARRB2	arrestin beta 2
BLM	Bloom syndrome RecQ like helicase
CDH2	cadherin 2
CDK5	cyclin dependent kinase 5
CR1	complement C3b/C4b receptor 1 (Knops blood group)
CRHR1	corticotropin releasing hormone receptor 1
CSF1	colony stimulating factor 1
CSF2	colony stimulating factor 2
DBH	dopamine beta-hydroxylase
DRD1	dopamine receptor D1
