AKT1	AKT serine/threonine kinase 1
BIRC5	baculoviral IAP repeat containing 5
APOE	apolipoprotein E
APP	amyloid beta precursor protein
AR	androgen receptor
BCL2	BCL2, apoptosis regulator
BDNF	brain derived neurotrophic factor
CD4	CD4 molecule
CDKN1A	cyclin dependent kinase inhibitor 1A
CDKN2A	cyclin dependent kinase inhibitor 2A
CFTR	cystic fibrosis transmembrane conductance regulator
CCR5	C-C motif chemokine receptor 5 (gene/pseudogene)
COMT	catechol-O-methyltransferase
CRP	C-reactive protein
CTNNB1	catenin beta 1
ACE	angiotensin I converting enzyme
EGFR	epidermal growth factor receptor
ERBB2	erb-b2 receptor tyrosine kinase 2
ESR1	estrogen receptor 1
F2	coagulation factor II, thrombin
MTOR	mechanistic target of rapamycin
GSTM1	glutathione S-transferase mu 1
GSTP1	glutathione S-transferase pi 1
GSTT1	glutathione S-transferase theta 1
only annotated on alternate loci in reference assembly
HIF1A	hypoxia inducible factor 1 alpha subunit
HLA-B	major histocompatibility complex, class I, B
HLA-DRB1	major histocompatibility complex, class II, DR beta 1
IFNG	interferon gamma
IGF1	insulin like growth factor 1
IL1B	interleukin 1 beta
IL6	interleukin 6
CXCL8	C-X-C motif chemokine ligand 8
IL10	interleukin 10
KRAS	KRAS proto-oncogene, GTPase
LEP	leptin
MAPT	microtubule associated protein tau
MMP2	matrix metallopeptidase 2
MMP9	matrix metallopeptidase 9
MTHFR	methylenetetrahydrofolate reductase
NFKB1	nuclear factor kappa B subunit 1
NOS3	nitric oxide synthase 3
SERPINE1	serpin family E member 1
ABCB1	ATP binding cassette subfamily B member 1
PON1	paraoxonase 1
PPARG	peroxisome proliferator activated receptor gamma
MAPK1	mitogen-activated protein kinase 1
PTEN	phosphatase and tensin homolog
PTGS2	prostaglandin-endoperoxide synthase 2
CCL2	C-C motif chemokine ligand 2
SLC6A4	solute carrier family 6 member 4
STAT3	signal transducer and activator of transcription 3
TERT	telomerase reverse transcriptase
TGFB1	transforming growth factor beta 1
TLR4	toll like receptor 4
TNF	tumor necrosis factor
TP53	tumor protein p53
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor
VEGFA	vascular endothelial growth factor A
CXCR4	C-X-C motif chemokine receptor 4
ADIPOQ	adiponectin, C1Q and collagen domain containing
ADRB2	adrenoceptor beta 2
AGT	angiotensinogen
APOA1	apolipoprotein A1
FAS	Fas cell surface death receptor
ATM	ATM serine/threonine kinase
CD44	CD44 molecule (Indian blood group)
MAPK14	mitogen-activated protein kinase 14
CTLA4	cytotoxic T-lymphocyte associated protein 4
CYP1A1	cytochrome P450 family 1 subfamily A member 1
CYP2C19	cytochrome P450 family 2 subfamily C member 19
CYP2D6	cytochrome P450 family 2 subfamily D member 6
DRD2	dopamine receptor D2
A frequently studied SNP, known as TaqI DRD2 (rs1800497), was originally associated with the DRD2 gene (GeneID 1813) but was later found to be located within exon 8 of the adjacent gene, ANKK1 (GeneID 255239). The location of rs1800497 is not always specified within publications. Publications may be associated with either locus or with both loci in order to point out the relationship of rs1800497 to both loci. [13 Feb 2013]
F5	coagulation factor V
NR3C1	nuclear receptor subfamily 3 group C member 1
GSK3B	glycogen synthase kinase 3 beta
HFE	hemochromatosis
HLA-A	major histocompatibility complex, class I, A
