ADA	adenosine deaminase
ADRB2	adrenoceptor beta 2
ALOX5	arachidonate 5-lipoxygenase
AQP4	aquaporin 4
ARRB2	arrestin beta 2
AVP	arginine vasopressin
B2M	beta-2-microglobulin
BTK	Bruton tyrosine kinase
C3	complement C3
C5	complement C5
CALCA	calcitonin related polypeptide alpha
CASP3	caspase 3
CHI3L1	chitinase 3 like 1
CPB2	carboxypeptidase B2
EGFR	epidermal growth factor receptor
ENO2	enolase 2
FN1	fibronectin 1
HGF	hepatocyte growth factor
HLA-DRB1	major histocompatibility complex, class II, DR beta 1
ICAM1	intercellular adhesion molecule 1
IFNG	interferon gamma
IL1A	interleukin 1 alpha
IL1B	interleukin 1 beta
IL6	interleukin 6
CXCL8	C-X-C motif chemokine ligand 8
IL10	interleukin 10
IL17A	interleukin 17A
LCN2	lipocalin 2
MBL2	mannose binding lectin 2
MDK	midkine (neurite growth-promoting factor 2)
MEFV	MEFV, pyrin innate immunity regulator
MIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)
MMP2	matrix metallopeptidase 2
MMP9	matrix metallopeptidase 9
MPO	myeloperoxidase
NOS1	nitric oxide synthase 1
NOS2	nitric oxide synthase 2
NOS3	nitric oxide synthase 3
NOTCH1	notch 1
SERPINE1	serpin family E member 1
PLAU	plasminogen activator, urokinase
PRKCA	protein kinase C alpha
PTK2	protein tyrosine kinase 2
S100A9	S100 calcium binding protein A9
CCL20	C-C motif chemokine ligand 20
CXCL5	C-X-C motif chemokine ligand 5
TIMP1	TIMP metallopeptidase inhibitor 1
TIMP2	TIMP metallopeptidase inhibitor 2
TLR2	toll like receptor 2
TLR4	toll like receptor 4
TNF	tumor necrosis factor
VEGFA	vascular endothelial growth factor A
EZR	ezrin
YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta
TNFSF13	TNF superfamily member 13
TNFSF10	TNF superfamily member 10
CXCL13	C-X-C motif chemokine ligand 13
TNFSF13B	TNF superfamily member 13b
IRAK4	interleukin 1 receptor associated kinase 4
TLR9	toll like receptor 9
CFD	complement factor D
GBP1	guanylate binding protein 1
LTA4H	leukotriene A4 hydrolase
NFKBIE	NFKB inhibitor epsilon
CCL1	C-C motif chemokine ligand 1
IL1R2	interleukin 1 receptor type 2
NLRP1	NLR family pyrin domain containing 1
CARD8	caspase recruitment domain family member 8
FAIM2	Fas apoptotic inhibitory molecule 2
AADAT	aminoadipate aminotransferase
GLCCI1	glucocorticoid induced 1
TIRAP	TIR domain containing adaptor protein
