Q9H3D4.1	P63_HUMAN
Q9H9B1.4	EHMT1_HUMAN
P36021.2	MOT8_HUMAN
Q06124.2	PTN11_HUMAN
Q9UBC3.1	DNM3B_HUMAN
P32004.2	L1CAM_HUMAN
Q9ULL8.3	SHRM4_HUMAN
O75369.2	FLNB_HUMAN
P10071.6	GLI3_HUMAN
Q02962.4	PAX2_HUMAN
P35453.3	HXD13_HUMAN
P23142.4	FBLN1_HUMAN
Q5H8C1.3	FREM1_HUMAN
P51531.2	SMCA2_HUMAN
Q93074.4	MED12_HUMAN
P08236.2	BGLR_HUMAN
Q9H237.2	PORCN_HUMAN
P31271.3	HXA13_HUMAN
O60828.1	PQBP1_HUMAN
Q7Z6Z7.3	HUWE1_HUMAN
Q9UPP1.3	PHF8_HUMAN
P36894.2	BMR1A_HUMAN
P63261.1	ACTG_HUMAN
P60709.1	ACTB_HUMAN
P60484.1	PTEN_HUMAN
Q8N0W4.1	NLGNX_HUMAN
O75487.4	GPC4_HUMAN
P98174.2	FGD1_HUMAN
Q96QS3.1	ARX_HUMAN
Q15052.2	ARHG6_HUMAN
P58012.1	FOXL2_HUMAN
P35713.2	SOX18_HUMAN
O76039.1	CDKL5_HUMAN
Q07889.1	SOS1_HUMAN
P42768.4	WASP_HUMAN
P51608.1	MECP2_HUMAN
P51654.1	GPC3_HUMAN
P48029.1	SC6A8_HUMAN
P21359.2	NF1_HUMAN
Q06787.1	FMR1_HUMAN
P02545.1	LMNA_HUMAN
P23771.1	GATA3_HUMAN
P17302.2	CXA1_HUMAN
P21675.2	TAF1_HUMAN
O14686.2	KMT2D_HUMAN
Q9Y4W2.2	LAS1L_HUMAN
Q7Z7G8.2	VP13B_HUMAN
P08493.2	MGP_HUMAN
Q7Z699.2	SPRE1_HUMAN
O60488.2	ACSL4_HUMAN
O75844.2	FACE1_HUMAN
Q93074.4	MED12_HUMAN
Q9Y397.2	ZDHC9_HUMAN
Q9BZI7.1	REN3B_HUMAN
