P11150.3	LIPC_HUMAN
Q5HYA8.2	MKS3_HUMAN
P01920.2	DQB1_HUMAN
P04637.4	P53_HUMAN
P09038.3	FGF2_HUMAN
Q09472.2	EP300_HUMAN
P15538.5	C11B1_HUMAN
Q02224.2	CENPE_HUMAN
Q9BYX4.3	IFIH1_HUMAN
O60260.2	PRKN_HUMAN
Q9NXB0.2	MKS1_HUMAN
Q06124.2	PTN11_HUMAN
Q14654.2	KCJ11_HUMAN
Q9BRG1.1	VPS25_HUMAN
P01584.2	IL1B_HUMAN
Q96EB6.2	SIR1_HUMAN
P21912.3	SDHB_HUMAN
P13501.3	CCL5_HUMAN
P51787.3	KCNQ1_HUMAN
P31040.2	SDHA_HUMAN
P41222.1	PTGDS_HUMAN
P41159.1	LEP_HUMAN
Q05066.1	SRY_HUMAN
P35557.1	HXK4_HUMAN
P30518.1	V2R_HUMAN
P02766.1	TTHY_HUMAN
P10599.3	THIO_HUMAN
P01270.1	PTHY_HUMAN
P09874.4	PARP1_HUMAN
P06858.1	LIPL_HUMAN
P01130.1	LDLR_HUMAN
P04049.1	RAF1_HUMAN
P01909.1	DQA1_HUMAN
P04150.1	GCR_HUMAN
P11362.3	FGFR1_HUMAN
P15090.3	FABP4_HUMAN
P08686.1	CP21A_HUMAN
P01189.2	COLI_HUMAN
P00450.1	CERU_HUMAN
P16671.2	CD36_HUMAN
P0DP23.1	CALM1_HUMAN
P41180.3	CASR_HUMAN
Q9HAU8.3	RNPL1_HUMAN
P10275.3	ANDR_HUMAN
Q03252.4	LMNB2_HUMAN
P50053.2	KHK_HUMAN
P55073.4	IOD3_HUMAN
P35398.2	RORA_HUMAN
Q8NAU1.3	FNDC5_HUMAN
Q63HN8.3	RN213_HUMAN
Q15165.3	PON2_HUMAN
Q8NEA6.5	GLIS3_HUMAN
Q14191.2	WRN_HUMAN
O00255.4	MEN1_HUMAN
Q96KN2.4	CNDP1_HUMAN
P35247.3	SFTPD_HUMAN
Q8NBP7.3	PCSK9_HUMAN
Q8NB78.3	KDM1B_HUMAN
Q86YR7.3	MF2L2_HUMAN
O76024.2	WFS1_HUMAN
P54278.2	PMS2_HUMAN
O15054.4	KDM6B_HUMAN
P30536.3	TSPO_HUMAN
P53985.3	MOT1_HUMAN
Q9BZD2.3	S29A3_HUMAN
P01222.2	TSHB_HUMAN
Q09428.6	ABCC8_HUMAN
O60494.5	CUBN_HUMAN
P07203.4	GPX1_HUMAN
Q13562.3	NDF1_HUMAN
P06865.2	HEXA_HUMAN
P43220.2	GLP1R_HUMAN
P06213.4	INSR_HUMAN
O95477.3	ABCA1_HUMAN
O00763.3	ACACB_HUMAN
Q86X55.3	CARM1_HUMAN
P27169.3	PON1_HUMAN
Q9HD43.3	PTPRH_HUMAN
Q9UHI7.3	S23A1_HUMAN
Q8TCU4.3	ALMS1_HUMAN
Q53EZ4.3	CEP55_HUMAN
Q9NZJ5.3	E2AK3_HUMAN
Q9HD90.2	NDF4_HUMAN
Q8NHW3.2	MAFA_HUMAN
Q9UQL6.2	HDAC5_HUMAN
P35499.4	SCN4A_HUMAN
Q96G97.3	BSCL2_HUMAN
Q49A26.3	GLYR1_HUMAN
O15357.2	SHIP2_HUMAN
Q9HAZ2.3	PRD16_HUMAN
Q13131.4	AAPK1_HUMAN
P36639.3	8ODP_HUMAN
P15822.3	ZEP1_HUMAN
O00170.2	AIP_HUMAN
P08581.4	MET_HUMAN
P19835.3	CEL_HUMAN
P21754.2	ZP3_HUMAN
Q6N021.3	TET2_HUMAN
Q6EMB2.3	TTLL5_HUMAN
P17535.3	JUND_HUMAN
P43304.3	GPDM_HUMAN
O60240.2	PLIN1_HUMAN
Q9Y618.2	NCOR2_HUMAN
Q96SQ7.2	ATOH8_HUMAN
P48740.3	MASP1_HUMAN
Q02094.2	RHAG_HUMAN
P10070.4	GLI2_HUMAN
P15313.3	VATB1_HUMAN
P43694.2	GATA4_HUMAN
Q12851.2	M4K2_HUMAN
Q92908.2	GATA6_HUMAN
Q03518.2	TAP1_HUMAN
Q8IZT6.2	ASPM_HUMAN
P50914.4	RL14_HUMAN
Q9NPH5.2	NOX4_HUMAN
O15550.2	KDM6A_HUMAN
O14638.2	ENPP3_HUMAN
Q8IWU4.2	ZNT8_HUMAN
Q3B820.2	F161A_HUMAN
Q2M1P5.2	KIF7_HUMAN
Q92813.4	IOD2_HUMAN
Q9BQE4.3	SELS_HUMAN
Q8HWS3.2	RFX6_HUMAN
Q96RK4.2	BBS4_HUMAN
Q14541.3	HNF4G_HUMAN
P46108.2	CRK_HUMAN
Q15788.3	NCOA1_HUMAN
O00443.2	P3C2A_HUMAN
Q9NU63.2	ZFP57_HUMAN
P41235.3	HNF4A_HUMAN
Q05469.4	LIPS_HUMAN
Q5T7M4.2	ADIPL_HUMAN
P17948.2	VGFR1_HUMAN
Q15256.2	PTPRR_HUMAN
Q86TM6.2	SYVN1_HUMAN
Q9H1B5.2	XYLT2_HUMAN
P01266.5	THYG_HUMAN
P01275.3	GLUC_HUMAN
P12110.4	CO6A2_HUMAN
Q2KHT3.2	CL16A_HUMAN
P01024.2	CO3_HUMAN
O75420.2	GGYF1_HUMAN
P27986.2	P85A_HUMAN
P46013.2	KI67_HUMAN
O95622.3	ADCY5_HUMAN
P41229.2	KDM5C_HUMAN
Q92932.2	PTPR2_HUMAN
Q86YN6.2	PRGC2_HUMAN
Q00653.4	NFKB2_HUMAN
Q8TD19.2	NEK9_HUMAN
P29120.2	NEC1_HUMAN
P48357.2	LEPR_HUMAN
Q6P9A2.2	GLT18_HUMAN
P11413.4	G6PD_HUMAN
Q12778.2	FOXO1_HUMAN
P55084.3	ECHB_HUMAN
Q01668.2	CAC1D_HUMAN
Q5SW96.3	ARH_HUMAN
P11166.2	GTR1_HUMAN
O60749.2	SNX2_HUMAN
Q86TC9.2	MYPN_HUMAN
Q8TEH3.2	DEN1A_HUMAN
O95479.2	G6PE_HUMAN
P35558.3	PCKGC_HUMAN
P31930.3	QCR1_HUMAN
Q6NUS6.2	TECT3_HUMAN
Q2MV58.2	TECT1_HUMAN
Q3T906.1	GNPTA_HUMAN
Q13153.2	PAK1_HUMAN
P19338.3	NUCL_HUMAN
P49917.2	DNLI4_HUMAN
Q9H4P4.2	RNF41_HUMAN
Q6J4K2.2	NCKX6_HUMAN
Q8TEW6.2	DOK4_HUMAN
Q13572.2	ITPK1_HUMAN
P46379.2	BAG6_HUMAN
Q99570.3	PI3R4_HUMAN
Q9BVC4.1	LST8_HUMAN
Q71DI3.3	H32_HUMAN
Q9UN81.1	LORF1_HUMAN
